222_lampham_aizu.py;0;220_ngoc_lam.py;100.0;
5_liouzhou_101.py;1;232_tom_and_richa.py;75.0;2;28_rgkbitw.py;58.3;
211_xhou0540.py;3;198_shshwdr.py;66.6;4;219_hl1117.py;54.1;5;103_hwhf6699.py;30.4;
242_Chitraketu.py;6;120_forclass021117.py;63.4;
28_rgkbitw.py;7;232_tom_and_richa.py;56.0;
219_hl1117.py;8;198_shshwdr.py;45.8;9;103_hwhf6699.py;30.4;
218_henear.py;10;245_fanzhh.py;56.2;11;202_MuzheZeng.py;56.2;
85_phoenixkoh93.py;12;16_huizew.py;35.2;13;50_bigmiaomiao.py;43.1;
202_MuzheZeng.py;14;245_fanzhh.py;36.6;15;214_caoboxiao.py;16.0;
198_shshwdr.py;16;103_hwhf6699.py;30.4;
50_bigmiaomiao.py;17;16_huizew.py;34.5;18;185_dibery.py;14.6;
