19_jq_huang.cpp;0;269_ryang_us.cpp;51.4;1;22_big-time.cpp;43.3;2;61_HMAXS.cpp;37.0;3;99_hyp1231.cpp;36.5;4;249_DenisGubar.cpp;32.0;5;3_yubowenok.cpp;31.4;
61_HMAXS.cpp;6;99_hyp1231.cpp;49.3;7;122_qwnjc.cpp;39.5;8;22_big-time.cpp;38.4;9;3_yubowenok.cpp;33.3;10;390_tom321321.cpp;31.7;
22_big-time.cpp;11;9_wzypangpang.cpp;45.2;12;99_hyp1231.cpp;37.9;13;3_yubowenok.cpp;32.5;
21_ZYCSwing.cpp;14;246_txingml.cpp;44.8;15;25_groawr.cpp;30.4;
461_dudufish2.cpp;16;28_shaobol.cpp;41.7;17;438_linyacool.cpp;37.6;
219_dongzy08.cpp;18;444_alncat.cpp;39.0;19;458_cailile.cpp;31.5;
75_bb123n4.cpp;20;57_ChaouS.cpp;37.8;
9_wzypangpang.cpp;21;28_shaobol.cpp;35.5;22;438_linyacool.cpp;33.3;
99_hyp1231.cpp;23;3_yubowenok.cpp;32.9;
5_saffah.cpp;24;249_DenisGubar.cpp;32.0;25;88_qwertier.cpp;31.6;
438_linyacool.cpp;26;122_qwnjc.cpp;31.8;
458_cailile.cpp;27;45_wcwswswws.cpp;30.9;28;6_laekov.cpp;30.9;
475_cygnus.cpp;29;249_DenisGubar.cpp;30.3;
